,from,to,from_lat,from_lon,to_lat,to_lon,from_id,to_id
449,Ragunan,Mampang Prapatan,-6.3055197,106.8203048,-6.2416674,106.8256967,88,48
450,Buncit Indah,Ragunan,-6.274321899999999,106.8303108,-6.3055197,106.8203048,10,69
451,Ragunan,Senen Sentral,-6.3055197,106.8203048,-6.178160999999999,106.842132,88,78
451,Ragunan,Senen Sentral,-6.3055197,106.8203048,-6.178160999999999,106.842132,88,78
451,Ragunan,Senen Sentral,-6.3055197,106.8203048,-6.178160999999999,106.842132,88,78
452,Mampang Prapatan,Senen Sentral,-6.2416674,106.8256967,-6.178160999999999,106.842132,55,78
453,Duren Tiga,Senen Sentral,-6.2523247,106.8269354,-6.178160999999999,106.842132,23,78
453,Duren Tiga,Senen Sentral,-6.2523247,106.8269354,-6.178160999999999,106.842132,23,78
453,Duren Tiga,Senen Sentral,-6.2523247,106.8269354,-6.178160999999999,106.842132,23,78
454,SMK 57,Senen Sentral,-6.2910377,106.8236168,-6.178160999999999,106.842132,91,78
454,SMK 57,Senen Sentral,-6.2910377,106.8236168,-6.178160999999999,106.842132,91,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
455,GOR Sumantri,Senen Sentral,-6.2205188,106.8318854,-6.178160999999999,106.842132,28,78
456,Ragunan,Ancol,-6.3055197,106.8203048,-6.127498000000001,106.830416,88,0
457,Dept.Pertanian,Senen Sentral,-6.2946845,106.8221104,-6.178160999999999,106.842132,20,78
457,Dept.Pertanian,Senen Sentral,-6.2946845,106.8221104,-6.178160999999999,106.842132,20,78
457,Dept.Pertanian,Senen Sentral,-6.2946845,106.8221104,-6.178160999999999,106.842132,20,78
457,Dept.Pertanian,Senen Sentral,-6.2946845,106.8221104,-6.178160999999999,106.842132,20,78
457,Dept.Pertanian,Senen Sentral,-6.2946845,106.8221104,-6.178160999999999,106.842132,20,78
457,Dept.Pertanian,Senen Sentral,-6.2946845,106.8221104,-6.178160999999999,106.842132,20,78
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
459,Ragunan,Dukuh Atas II,-6.3055197,106.8203048,-6.204319,106.823537,88,12
460,Mampang Prapatan,Dukuh Atas II,-6.2416674,106.8256967,-6.204319,106.823537,55,12
460,Mampang Prapatan,Dukuh Atas II,-6.2416674,106.8256967,-6.204319,106.823537,55,12
460,Mampang Prapatan,Dukuh Atas II,-6.2416674,106.8256967,-6.204319,106.823537,55,12
460,Mampang Prapatan,Dukuh Atas II,-6.2416674,106.8256967,-6.204319,106.823537,55,12
460,Mampang Prapatan,Dukuh Atas II,-6.2416674,106.8256967,-6.204319,106.823537,55,12
460,Mampang Prapatan,Dukuh Atas II,-6.2416674,106.8256967,-6.204319,106.823537,55,12
460,Mampang Prapatan,Dukuh Atas II,-6.2416674,106.8256967,-6.204319,106.823537,55,12
461,Duren Tiga,Dukuh Atas II,-6.2523247,106.8269354,-6.204319,106.823537,23,12
461,Duren Tiga,Dukuh Atas II,-6.2523247,106.8269354,-6.204319,106.823537,23,12
461,Duren Tiga,Dukuh Atas II,-6.2523247,106.8269354,-6.204319,106.823537,23,12
461,Duren Tiga,Dukuh Atas II,-6.2523247,106.8269354,-6.204319,106.823537,23,12
461,Duren Tiga,Dukuh Atas II,-6.2523247,106.8269354,-6.204319,106.823537,23,12
461,Duren Tiga,Dukuh Atas II,-6.2523247,106.8269354,-6.204319,106.823537,23,12
461,Duren Tiga,Dukuh Atas II,-6.2523247,106.8269354,-6.204319,106.823537,23,12
462,GOR Sumantri,Dukuh Atas II,-6.2205188,106.8318854,-6.204319,106.823537,28,12
463,SMK 57,Dukuh Atas II,-6.2910377,106.8236168,-6.204319,106.823537,91,12
463,SMK 57,Dukuh Atas II,-6.2910377,106.8236168,-6.204319,106.823537,91,12
463,SMK 57,Dukuh Atas II,-6.2910377,106.8236168,-6.204319,106.823537,91,12
463,SMK 57,Dukuh Atas II,-6.2910377,106.8236168,-6.204319,106.823537,91,12
463,SMK 57,Dukuh Atas II,-6.2910377,106.8236168,-6.204319,106.823537,91,12
463,SMK 57,Dukuh Atas II,-6.2910377,106.8236168,-6.204319,106.823537,91,12
463,SMK 57,Dukuh Atas II,-6.2910377,106.8236168,-6.204319,106.823537,91,12
464,Warung Jati,Dukuh Atas II,-6.262366000000001,106.829706,-6.204319,106.823537,115,12
464,Warung Jati,Dukuh Atas II,-6.262366000000001,106.829706,-6.204319,106.823537,115,12
465,Dept.Pertanian,Dukuh Atas II,-6.2946845,106.8221104,-6.204319,106.823537,20,12
465,Dept.Pertanian,Dukuh Atas II,-6.2946845,106.8221104,-6.204319,106.823537,20,12
465,Dept.Pertanian,Dukuh Atas II,-6.2946845,106.8221104,-6.204319,106.823537,20,12
465,Dept.Pertanian,Dukuh Atas II,-6.2946845,106.8221104,-6.204319,106.823537,20,12
465,Dept.Pertanian,Dukuh Atas II,-6.2946845,106.8221104,-6.204319,106.823537,20,12
465,Dept.Pertanian,Dukuh Atas II,-6.2946845,106.8221104,-6.204319,106.823537,20,12
465,Dept.Pertanian,Dukuh Atas II,-6.2946845,106.8221104,-6.204319,106.823537,20,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
467,Jati Padang,Dukuh Atas II,-6.2854848,106.826251,-6.204319,106.823537,39,12
469,Mampang Prapatan,RS Sumber Waras,-6.2416674,106.8256967,-6.166276,106.79691,55,68
469,Mampang Prapatan,RS Sumber Waras,-6.2416674,106.8256967,-6.166276,106.79691,55,68
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
470,Layur,Terminal Tj.Priuk,-6.1935093,106.8991722,-6.1097153,106.8813547,53,90
471,Layur,Permai Koja,-6.1935093,106.8991722,-6.113918,106.893089,53,58
471,Layur,Permai Koja,-6.1935093,106.8991722,-6.113918,106.893089,53,58
471,Layur,Permai Koja,-6.1935093,106.8991722,-6.113918,106.893089,53,58
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
474,Ragunan,Stasiun Kota,-6.3055197,106.8203048,-6.137797,106.814012,88,83
475,GOR Sumantri,Blok M,-6.2205188,106.8318854,-6.2426298,106.8009663,28,3
475,GOR Sumantri,Blok M,-6.2205188,106.8318854,-6.2426298,106.8009663,28,3
475,GOR Sumantri,Blok M,-6.2205188,106.8318854,-6.2426298,106.8009663,28,3
475,GOR Sumantri,Blok M,-6.2205188,106.8318854,-6.2426298,106.8009663,28,3
475,GOR Sumantri,Blok M,-6.2205188,106.8318854,-6.2426298,106.8009663,28,3
475,GOR Sumantri,Blok M,-6.2205188,106.8318854,-6.2426298,106.8009663,28,3
475,GOR Sumantri,Blok M,-6.2205188,106.8318854,-6.2426298,106.8009663,28,3
476,Ragunan,Sarinah,-6.3055197,106.8203048,-6.1882069,106.8229891,88,75
476,Ragunan,Sarinah,-6.3055197,106.8203048,-6.1882069,106.8229891,88,75
476,Ragunan,Sarinah,-6.3055197,106.8203048,-6.1882069,106.8229891,88,75
476,Ragunan,Sarinah,-6.3055197,106.8203048,-6.1882069,106.8229891,88,75
477,Ragunan,Blok M,-6.3055197,106.8203048,-6.2426298,106.8009663,88,3
477,Ragunan,Blok M,-6.3055197,106.8203048,-6.2426298,106.8009663,88,3
477,Ragunan,Blok M,-6.3055197,106.8203048,-6.2426298,106.8009663,88,3
477,Ragunan,Blok M,-6.3055197,106.8203048,-6.2426298,106.8009663,88,3
477,Ragunan,Blok M,-6.3055197,106.8203048,-6.2426298,106.8009663,88,3
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
478,Mampang Prapatan,Tosari,-6.2416674,106.8256967,-6.198110199999999,106.8231293,55,91
